time,country,volatility,description,actual,forecast,previous,date
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מכירות בתים חדשים  (יוני),,,623K,"יום חמישי, 24 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,הזמנות מוצרים ברי קיימא (חודשי)  (יוני),,,16.4%,"יום שישי, 25 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מדד אמון הצרכן של CB  (יולי),,,93.0,"יום שלישי, 29 ביולי, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,סקר מחזור משרות פתוחות ותעסוקה  (יוני),,,7.769M,"יום שלישי, 29 ביולי, 2025"
15:15,ארצות הברית,צפויה תנודתיות גבוהה,מדד התעסוקה של ADP  (יולי),,,-33K,"יום רביעי, 30 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,"תמ""ג (רבעוני)  (ר2)",,,-0.5%,"יום רביעי, 30 ביולי, 2025"
21:00,ארצות הברית,צפויה תנודתיות גבוהה,החלטת הריבית,,,4.50%,"יום רביעי, 30 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד הליבה של ההוצאה לצריכה פרטית (חודשי)  (יוני),,,0.2%,"יום חמישי, 31 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד הליבה של ההוצאה לצריכה פרטית (שנתי)  (יוני),,,2.7%,"יום חמישי, 31 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שכר ממוצע לשעת עבודה (חודשי)  (יולי),,,0.2%,"יום שישי, 1 באוגוסט, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,השינוי במספר המועסקים במגזר הלא-חקלאי  (יולי),,,147K,"יום שישי, 1 באוגוסט, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שיעור האבטלה  (יולי),,,4.1%,"יום שישי, 1 באוגוסט, 2025"
16:45,ארצות הברית,צפויה תנודתיות גבוהה,מדד מנהלי הרכש - מגזר הייצור  (יולי),,,52.9,"יום שישי, 1 באוגוסט, 2025"
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מדד ISM במגזר הייצור  (יולי),,,49.0,"יום שישי, 1 באוגוסט, 2025"
